Bắt	Arrest-jail	O	T33	Person-Arg:T34 
những	O	O	O	N
nước	O	O	O	N
ủng_hộ	O	O	O	N
sử_dụng	O	O	O	N
công_cụ	O	O	O	N
tài_khoá	O	O	O	N
và	O	O	O	N
tiền_tệ	O	O	O	N
để	O	O	O	N
chống	O	O	O	N
suy_giảm	O	O	O	N
kinh_tế	O	O	O	N
.	O	O	O	N

Thông_cáo_chung	O	O	O	N
cũng	O	O	O	N
cho_biết	O	O	O	N
G20	O	O	O	N
"	O	O	O	N
sẽ	O	O	O	N
sử_dụng	O	O	O	N
tất_cả	O	O	O	N
công_cụ	O	O	O	N
chính_sách	O	O	O	N
-	O	O	O	N
tài_khoá	O	O	O	N
,	O	O	O	N
tiền_tệ	O	O	O	N
,	O	O	O	N
cải_tổ	O	O	O	N
cấu_trúc	O	O	O	N
-	O	O	O	N
cả	O	O	O	N
đơn_lẻ	O	O	O	N
từng	O	O	O	N
nước	O	O	O	N
và	O	O	O	N
phối_hợp	O	O	O	N
giữa	O	O	O	N
các	O	O	O	N
quốc_gia	O	O	O	N
"	O	O	O	N
để	O	O	O	N
gây_dựng	O	O	O	N
niềm_tin	O	O	O	N
và	O	O	O	N
củng_cố	O	O	O	N
đà	O	O	O	N
phục_hồi	O	O	O	N
.	O	O	O	N

Dù	O	O	O	N
vậy	O	O	O	N
,	O	O	O	N
họ	O	O	O	N
cũng	O	O	O	N
thừa_nhận	O	O	O	N
chỉ	O	O	O	N
tăng	O	O	O	N
cung	O	O	O	N
tiền	O	O	O	N
sẽ	O	O	O	N
không	O	O	O	N
dẫn	O	O	O	N
đến	O	O	O	N
tăng_trưởng	O	O	O	N
cân_bằng	O	O	O	N
và	O	O	O	N
các	O	O	O	N
chính_sách	O	O	O	N
tài_khoá	O	O	O	N
cũng	O	O	O	N
sẽ	O	O	O	N
được	O	O	O	N
sử_dụng	O	O	O	N
"	O	O	O	N
linh_hoạt	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Các	O	O	O	N
nước	O	O	O	N
cũng	O	O	O	N
tái	O	O	O	N
cam_kết	O	O	O	N
"	O	O	O	N
hạn_chế	O	O	O	N
cuộc_chiến	O	O	O	N
hạ	O	O	O	N
giá	O	O	O	N
nội_tệ	O	O	O	N
"	O	O	O	N
và	O	O	O	N
"	O	O	O	N
theo	O	O	O	N
sát	O	O	O	N
diễn_biến	O	O	O	N
trên	O	O	O	N
thị_trường	O	O	O	N
ngoại_hối	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Đáp	O	O	O	N
trả	O	O	O	N
các	O	O	O	N
lo_ngại	O	O	O	N
gần	O	O	O	N
đây	O	O	O	N
về	O	O	O	N
việc	O	O	O	N
Trung_Quốc	O	O	O	N
có_thể	O	O	O	N
hạ	O	O	O	N
giá	O	O	O	N
NDT	O	O	O	N
thêm	O	O	O	N
nữa	O	O	O	N
để	O	O	O	N
tăng	O	O	O	N
sức	O	O	O	N
cạnh_tranh	O	O	O	N
cho	O	O	O	N
hàng	O	O	O	N
xuất_khẩu	O	O	O	N
,	O	O	O	N
Thủ_tướng	O	O	O	N
Lý_Khắc_Cường	O	O	O	N
và	O	O	O	N
các	O	O	O	N
đại_diện	O	O	O	N
Trung_Quốc	O	O	O	N
trong	O	O	O	N
cuộc	Meet	O	T4	Entity-Arg:T5 
họp	Meet	O	T4	Entity-Arg:T5 
G20	O	ORG	T5	N
cho_biết	O	O	O	N
"	O	O	O	N
không	O	O	O	N
có	O	O	O	N
ý_định	O	O	O	N
và	O	O	O	N
cũng	O	O	O	N
không	O	O	O	N
có	O	O	O	N
quyết_định	O	O	O	N
nào	O	O	O	N
để	O	O	O	N
hạ	O	O	O	N
giá	O	O	O	N
nội_tệ	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Ngáo	O	O	O	N
đá	O	O	O	N
,	O	O	O	N
truy_sát	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
và	O	O	O	N
hai	O	O	O	N
em	O	O	O	N
họ	O	O	O	N

Bà	O	O	O	N
nội	O	O	O	N
không	O	O	O	N
cho	O	O	O	N
tiền	O	O	O	N
mua	O	O	O	N
ma_tuý	O	O	O	N
đá	O	O	O	N
,	O	O	O	N
Ngô_Quốc_Huy	O	PER	T5	N
vớ	O	O	O	N
lấy	O	O	O	N
cây_gỗ	O	WEA	T1	N
chèn	O	O	O	N
cửa	O	O	O	N
nhà	O	O	O	N
đánh	Attack	O	T2	Target-Arg:T3 Instrument-Arg:T1 Attacker-Arg:T5 
nhiều	O	O	O	N
nhát	O	O	O	N
khiến	O	O	O	N
bà	O	O	O	N
Nguyễn_Thị_Tuyết	O	PER	T3	N
bất_tỉnh	Injure	O	T4	Victim-Arg:T3 
.	O	O	O	N

Theo	O	O	O	N
lời	O	O	O	N
khai	O	O	O	N
của	O	O	O	N
Huy	O	O	O	N
thì	O	O	O	N
hắn	O	O	O	N
là	O	O	O	N
cháu_đích_tôn	O	O	O	N
nên	O	O	O	N
từ	O	O	O	N
nhỏ	O	O	O	N
được	O	O	O	N
cha_mẹ	O	O	O	N
,	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
và	O	O	O	N
những	O	O	O	N
người	O	O	O	N
khác	O	O	O	N
trong	O	O	O	N
nhà	O	O	O	N
hết_mực	O	O	O	N
thương_yêu	O	O	O	N
.	O	O	O	N

Thời_gian	O	O	O	N
ấy	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
muốn	O	O	O	N
gì	O	O	O	N
đều	O	O	O	N
được	O	O	O	N
người_lớn	O	O	O	N
đáp_ứng	O	O	O	N
.	O	O	O	N

Trong	O	O	O	N
một	O	O	O	N
lần	O	O	O	N
đi	O	O	O	N
đá	O	O	O	N
bóng	O	O	O	N
cùng	O	O	O	N
đám	O	O	O	N
bụi	O	O	O	N
đời	O	O	O	N
choai_choai	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
được	O	O	O	N
đám	O	O	O	N
này	O	O	O	N
cho	O	O	O	N
chơi	O	O	O	N
thử	O	O	O	N
một_ít	O	O	O	N
heroin	O	O	O	N
.	O	O	O	N

Trở_về	O	O	O	N
nhà	O	O	O	N
trong	O	O	O	N
cảm_giác	O	O	O	N
lâng_lâng	O	O	O	N
khó	O	O	O	N
tả	O	O	O	N
,	O	O	O	N
ngày	O	O	O	N
hôm	O	O	O	N
sau	O	O	O	N
hắn	O	O	O	N
tiếp_tục	O	O	O	N
tìm	O	O	O	N
đến	O	O	O	N
đám	O	O	O	N
"	O	O	O	N
bạn	O	O	O	N
"	O	O	O	N
xin	O	O	O	N
được	O	O	O	N
chơi	O	O	O	N
tiếp	O	O	O	N
,	O	O	O	N
rồi	O	O	O	N
tiếp_tục	O	O	O	N
ngày_sau	O	O	O	N
.	O	O	O	N

Ngày_sau	O	O	O	N
nữa	O	O	O	N
,	O	O	O	N
cứ	O	O	O	N
như_vậy	O	O	O	N
hắn	O	O	O	N
trở_thành	O	O	O	N
"	O	O	O	N
đệ_tử	O	O	O	N
"	O	O	O	N
của	O	O	O	N
cái	O	O	O	N
chất	O	O	O	N
quái_quỷ	O	O	O	N
chết	O	O	O	N
người	O	O	O	N
ấy	O	O	O	N
.	O	O	O	N

Câu	O	O	O	N
nói	O	O	O	N
đầu_tiên	O	O	O	N
sau	O	O	O	N
cơn	O	O	O	N
phê	O	O	O	N
thuốc	O	O	O	N
:	O	O	O	N
"	O	O	O	N
Cháu	O	O	O	N
rất	O	O	O	N
thương	O	O	O	N
bà	O	O	O	N
vì	O	O	O	N
trong	O	O	O	N
cái	O	O	O	N
gia_đình	O	O	O	N
ấy	O	O	O	N
,	O	O	O	N
ngoại_trừ	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
thì	O	O	O	N
không	O	O	O	N
ai	O	O	O	N
chăm_lo	O	O	O	N
cho	O	O	O	N
cháu	O	O	O	N
…	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Ấy	O	O	O	N
vậy_mà	O	O	O	N
khi	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
không	O	O	O	N
còn	O	O	O	N
tiền	O	O	O	N
để	O	O	O	N
cho	O	O	O	N
hắn	O	O	O	N
đi	O	O	O	N
mua	O	O	O	N
ma_tuý	O	O	O	N
đá	O	O	O	N
,	O	O	O	N
Ngô_Quốc_Huy	O	PER	T6	N
đã	O	O	O	N
đang	O	O	O	N
tay	O	O	O	N
vớ	O	O	O	N
lấy	O	O	O	N
cây_gỗ	O	WEA	T7	N
chèn	O	O	O	N
cửa	O	O	O	N
nhà	O	O	O	N
đánh	Attack	O	T10	Target-Arg:T8 Attacker-Arg:T6 Instrument-Arg:T7 
nhiều	O	O	O	N
nhát	O	O	O	N
vào	O	O	O	N
đầu	O	O	O	N
khiến	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
Nguyễn_Thị_Tuyết	O	PER	T8	N
bất_tỉnh	Injure	O	T9	Victim-Arg:T8 
tại_chỗ	O	O	O	N
.	O	O	O	N

Hai	O	O	O	N
người	O	O	O	N
em	O	O	O	N
họ	O	O	O	N
Ngô_Thị_Như	O	PER	T12	N
Ý	O	PER	T12	N
và	O	PER	T12	N
Ngô_Minh_Thành	O	PER	T12	N
lao	O	O	O	N
vào	O	O	O	N
can_ngăn	O	O	O	N
cũng	O	O	O	N
bị	O	O	O	N
hắn	O	O	O	N
nện	Attack	O	T11	Target-Arg:T12 
cho	O	O	O	N
nhiều	O	O	O	N
nhát	O	O	O	N
vào	O	O	O	N
đầu	O	O	O	N
đến	O	O	O	N
khi	O	O	O	N
vỡ	O	O	O	N
hộp	O	O	O	N
sọ	O	O	O	N
gục	O	O	O	N
xuống	O	O	O	N
.	O	O	O	N

Sau	O	O	O	N
hàng_loạt	O	O	O	N
những	O	O	O	N
hành_động	O	O	O	N
tội_ác	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
lạnh_lùng	O	O	O	N
kéo	O	O	O	N
cửa	O	O	O	N
lẻn	O	O	O	N
ra	O	O	O	N
ngoài	O	O	O	N
tính	O	O	O	N
chuồn	O	O	O	N
êm	O	O	O	N
.	O	O	O	N

Nhưng	O	O	O	N
Công_an	O	ORG	T14	N
phường	O	ORG	T14	N
1	O	ORG	T14	N
,	O	ORG	T14	N
quận	O	ORG	T14	N
10	O	ORG	T14	N
,	O	ORG	T14	N
TP	O	ORG	T14	N
HCM	O	ORG	T14	N
đã	O	O	O	N
bắt	Arrest-jail	O	T13	Person-Arg:T15 Agent-Arg:T14 
gọn	O	O	O	N
Ngô_Quốc_Huy	O	PER	T15	N
trên	O	O	O	N
đường	O	O	O	N
lẩn_trốn	O	O	O	N
.	O	O	O	N

Vụ	O	O	O	N
án	O	O	O	N
vừa	O	O	O	N
xảy	O	O	O	N
ra	O	O	O	N
gây	O	O	O	N
bàng_hoàng	O	O	O	N
dư_luận	O	O	O	N
.	O	O	O	N

Lý_lịch	O	O	O	N
bất_hảo	O	O	O	N
Ngô_Quốc_Huy	O	O	O	N
sinh	O	O	O	N
năm	O	O	O	N
1986	O	O	O	N
,	O	O	O	N
trú	O	O	O	N
tại	O	O	O	N
số	O	O	O	N
1226/9	O	O	O	N
,	O	O	O	N
khu_phố	O	O	O	N
An_Hoà	O	O	O	N
,	O	O	O	N
đường	O	O	O	N
Nguyễn_Trung_Trực	O	O	O	N
,	O	O	O	N
TP	O	O	O	N
Rạch_Giá	O	O	O	N
,	O	O	O	N
tỉnh	O	O	O	N
Kiên_Giang	O	O	O	N
(	O	O	O	N
tạm_trú	O	O	O	N
tại	O	O	O	N
số	O	O	O	N
52/12	O	O	O	N
Hồ_Thị_Kỷ	O	O	O	N
,	O	O	O	N
phường	O	O	O	N
1	O	O	O	N
,	O	O	O	N
quận	O	O	O	N
10	O	O	O	N
,	O	O	O	N
TP	O	O	O	N
HCM	O	O	O	N
)	O	O	O	N
.	O	O	O	N

Hắn	O	O	O	N
khai	O	O	O	N
,	O	O	O	N
buổi_sáng	O	O	O	N
ngày	O	O	O	N
23/4/2014	O	O	O	N
,	O	O	O	N
lúc	O	O	O	N
đó	O	O	O	N
khoảng	O	O	O	N
5h	O	O	O	N
sáng	O	O	O	N
khi	O	O	O	N
hắn	O	O	O	N
đang	O	O	O	N
ngủ	O	O	O	N
bụi	O	O	O	N
trước	O	O	O	N
cửa	O	O	O	N
một	O	O	O	N
ngôi	O	O	O	N
nhà	O	O	O	N
trong	O	O	O	N
khu	O	O	O	N
chung_cư	O	O	O	N
Nguyễn_Thiện_Thuật	O	O	O	N
,	O	O	O	N
quận	O	O	O	N
3	O	O	O	N
thì	O	O	O	N
bị	O	O	O	N
chủ	O	O	O	N
nhà	O	O	O	N
đi	O	O	O	N
tập_thể_dục	O	O	O	N
phát_hiện	O	O	O	N
nên	O	O	O	N
đuổi	O	O	O	N
đi	O	O	O	N
.	O	O	O	N

Bụng	O	O	O	N
đói	O	O	O	N
cồn_cào	O	O	O	N
vì	O	O	O	N
từ	O	O	O	N
mấy	O	O	O	N
ngày	O	O	O	N
chưa	O	O	O	N
có	O	O	O	N
hạt	O	O	O	N
cơm	O	O	O	N
nào	O	O	O	N
vào	O	O	O	N
bụng	O	O	O	N
,	O	O	O	N
chợt	O	O	O	N
nhớ	O	O	O	N
trong	O	O	O	N
túi	O	O	O	N
còn	O	O	O	N
ít	O	O	O	N
ma_tuý	O	O	O	N
đá	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
móc	O	O	O	N
ra	O	O	O	N
nốc	O	O	O	N
một_hơi	O	O	O	N
hết	O	O	O	N
sạch	O	O	O	N
rồi	O	O	O	N
lần_mò	O	O	O	N
tìm	O	O	O	N
đường	O	O	O	N
về	O	O	O	N
nhà	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
xin	O	O	O	N
tiền	O	O	O	N
mua	O	O	O	N
cơm	O	O	O	N
ăn	O	O	O	N
.	O	O	O	N

Vừa	O	O	O	N
bước	O	O	O	N
vào	O	O	O	N
nhà	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
đã	O	O	O	N
bị	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
chỉ	O	O	O	N
thẳng	O	O	O	N
vào	O	O	O	N
mặt	O	O	O	N
chửi	O	O	O	N
té_tát	O	O	O	N
:	O	O	O	N
"	O	O	O	N
Tao	O	O	O	N
không	O	O	O	N
có	O	O	O	N
thằng	O	O	O	N
cháu	O	O	O	N
nội	O	O	O	N
như	O	O	O	N
mày	O	O	O	N
,	O	O	O	N
hãy	O	O	O	N
cút	O	O	O	N
đi	O	O	O	N
ngay	O	O	O	N
,	O	O	O	N
nếu	O	O	O	N
muốn	O	O	O	N
được	O	O	O	N
tao	O	O	O	N
với	O	O	O	N
mọi	O	O	O	N
người	O	O	O	N
chấp_nhận	O	O	O	N
thì	O	O	O	N
phải	O	O	O	N
tránh	O	O	O	N
xa	O	O	O	N
ma_tuý	O	O	O	N
và	O	O	O	N
từ_bỏ	O	O	O	N
ngay	O	O	O	N
thói	O	O	O	N
trộm_cắp	O	O	O	N
,	O	O	O	N
cướp_giật	O	O	O	N
…	O	O	O	N
"	O	O	O	N
.	O	O	O	N

Không_những	O	O	O	N
chửi	O	O	O	N
,	O	O	O	N
bà	O	PER	T16	N
còn	O	O	O	N
quay	O	O	O	N
qua	O	O	O	N
lấy	O	O	O	N
chiếc	O	VEH	T17	N
roi	O	VEH	T17	N
mây	O	VEH	T17	N
đánh	Attack	O	T18	Target-Arg:T19 Attacker-Arg:T16 Instrument-Arg:T17 
tới_tấp	O	O	O	N
khiến	O	O	O	N
hắn	O	PER	T19	N
không	O	O	O	N
kịp	O	O	O	N
đỡ	O	O	O	N
.	O	O	O	N

Đến	O	O	O	N
khi	O	O	O	N
bị	O	O	O	N
dồn	O	O	O	N
vào	O	O	O	N
góc	O	O	O	N
nhà	O	O	O	N
,	O	O	O	N
bí	O	O	O	N
quá	O	O	O	N
hắn	O	O	O	N
vớ	O	O	O	N
lấy	O	O	O	N
cây_gỗ	O	O	O	N
dùng	O	O	O	N
để	O	O	O	N
chặn	O	O	O	N
cửa	O	O	O	N
dài	O	O	O	N
khoảng	O	O	O	N
gần	O	O	O	N
một	O	O	O	N
mét	O	O	O	N
chỉ	O	O	O	N
để	O	O	O	N
đỡ	O	O	O	N
lại	O	O	O	N
chứ	O	O	O	N
không	O	O	O	N
hề	O	O	O	N
có	O	O	O	N
ý_định	O	O	O	N
tấn_công	O	O	O	N
lại	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
.	O	O	O	N

Nhưng	O	O	O	N
những	O	O	O	N
lời	O	O	O	N
khai	O	O	O	N
ban_đầu	O	O	O	N
của	O	O	O	N
Huy	O	O	O	N
không	O	O	O	N
đủ	O	O	O	N
sức	O	O	O	N
thuyết_phục	O	O	O	N
,	O	O	O	N
qua	O	O	O	N
tình_tiết	O	O	O	N
của	O	O	O	N
vụ	O	O	O	N
án	O	O	O	N
cùng	O	O	O	N
với	O	O	O	N
sự	O	O	O	N
cương_quyết	O	O	O	N
của	O	O	O	N
lực_lượng	O	O	O	N
Công_an	O	O	O	N
,	O	O	O	N
cuối_cùng	O	O	O	N
Huy	O	O	O	N
đã	O	O	O	N
phải	O	O	O	N
cúi	O	O	O	N
đầu	O	O	O	N
nhận	O	O	O	N
tội	O	O	O	N
.	O	O	O	N

Đến	O	O	O	N
lúc	O	O	O	N
không_thể	O	O	O	N
rút	O	O	O	N
chân	O	O	O	N
ra	O	O	O	N
khỏi	O	O	O	N
vũng	O	O	O	N
lầy	O	O	O	N
của	O	O	O	N
ma_tuý	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
bỏ	O	O	O	N
học	O	O	O	N
nhưng	O	O	O	N
để	O	O	O	N
tạo	O	O	O	N
vỏ	O	O	O	N
bọc	O	O	O	N
với	O	O	O	N
gia_đình	O	O	O	N
,	O	O	O	N
cứ	O	O	O	N
mỗi	O	O	O	N
buổi_sáng	O	O	O	N
hắn	O	O	O	N
đều	O	O	O	N
cắp	O	O	O	N
cặp	O	O	O	N
sách	O	O	O	N
đi	O	O	O	N
ra	O	O	O	N
khỏi	O	O	O	N
nhà	O	O	O	N
nhưng	O	O	O	N
thay_vì	O	O	O	N
đến	O	O	O	N
trường	O	O	O	N
thì	O	O	O	N
hắn	O	O	O	N
lại	O	O	O	N
tìm	O	O	O	N
đến	O	O	O	N
các	O	O	O	N
tụ_điểm	O	O	O	N
ăn_chơi	O	O	O	N
,	O	O	O	N
hút_chích	O	O	O	N
.	O	O	O	N

Ngoài	O	O	O	N
việc	O	O	O	N
nướng	O	O	O	N
hết	O	O	O	N
số	O	O	O	N
tiền	O	O	O	N
cha_mẹ	O	O	O	N
cho	O	O	O	N
để	O	O	O	N
đóng	O	O	O	N
học_phí	O	O	O	N
vào	O	O	O	N
ma_tuý	O	O	O	N
,	O	O	O	N
hắn	O	O	O	N
còn	O	O	O	N
tìm	O	O	O	N
cách	O	O	O	N
trộm_cắp	O	O	O	N
tivi	O	O	O	N
,	O	O	O	N
máy_tính	O	O	O	N
và	O	O	O	N
thậm_chí	O	O	O	N
là	O	O	O	N
cả	O	O	O	N
xe_gắn_máy	O	O	O	N
của	O	O	O	N
cha_mẹ	O	O	O	N
mang	O	O	O	N
bán	O	O	O	N
lấy	O	O	O	N
tiền	O	O	O	N
ăn_chơi	O	O	O	N
.	O	O	O	N

Khi	O	O	O	N
bị	O	O	O	N
gia_đình	O	O	O	N
phát_hiện	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
bỏ	O	O	O	N
nhà	O	O	O	N
cùng	O	O	O	N
đám	O	O	O	N
bạn	O	O	O	N
hút	O	O	O	N
chích	O	O	O	N
thành_lập	O	O	O	N
băng_đảng	O	O	O	N
chuyên	O	O	O	N
thực_hiện	O	O	O	N
các	O	O	O	N
vụ	O	O	O	N
trộm_cắp	O	O	O	N
,	O	O	O	N
cướp_giật	O	O	O	N
ở	O	O	O	N
khu_vực	O	O	O	N
chợ	O	O	O	N
hoa	O	O	O	N
Hồ_Thị_Kỷ	O	O	O	N
.	O	O	O	N

Với	O	O	O	N
bản_tính	O	O	O	N
côn_đồ	O	O	O	N
,	O	O	O	N
hung_tợn	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
thường_xuyên	O	O	O	N
cầm_đầu	O	O	O	N
các	O	O	O	N
vụ	O	O	O	N
đánh	O	O	O	N
chém	O	O	O	N
tranh_giành	O	O	O	N
lãnh_địa	O	O	O	N
nên	O	O	O	N
chẳng	O	O	O	N
bao_lâu	O	O	O	N
sau	O	O	O	N
,	O	O	O	N
mặc_dù	O	O	O	N
nhỏ_tuổi	O	O	O	N
nhất	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
vẫn	O	O	O	N
được	O	O	O	N
cả	O	O	O	N
đám	O	O	O	N
tôn	O	O	O	N
làm	O	O	O	N
đại_ca	O	O	O	N
.	O	O	O	N

Kể	O	O	O	N
từ	O	O	O	N
đây	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
ra_lệnh	O	O	O	N
cho	O	O	O	N
đám	O	O	O	N
đàn_em	O	O	O	N
thực_hiện	O	O	O	N
tất_cả	O	O	O	N
những	O	O	O	N
cơ_hội	O	O	O	N
để	O	O	O	N
trộm_cắp	O	O	O	N
,	O	O	O	N
cướp_giật	O	O	O	N
và	O	O	O	N
thậm_chí	O	O	O	N
là	O	O	O	N
cướp	O	O	O	N
hoa	O	O	O	N
của	O	O	O	N
những	O	O	O	N
xe	O	O	O	N
từ	O	O	O	N
Đà_Lạt	O	O	O	N
chở	O	O	O	N
xuống	O	O	O	N
chợ	O	O	O	N
Hồ_Thị_Kỷ	O	O	O	N
rồi	O	O	O	N
ép	O	O	O	N
các	O	O	O	N
chủ	O	O	O	N
sạp	O	O	O	N
phải	O	O	O	N
mua	O	O	O	N
lại	O	O	O	N
với	O	O	O	N
giá	O	O	O	N
cao	O	O	O	N
hơn	O	O	O	N
bình_thường	O	O	O	N
.	O	O	O	N

Tháng	O	O	O	N
3/2006	O	O	O	N
,	O	O	O	N
khi	O	O	O	N
đang	O	O	O	N
cùng	O	O	O	N
đồng_bọn	O	O	O	N
thực_hiện	O	O	O	N
vụ	O	O	O	N
"	O	O	O	N
ăn_hàng	O	O	O	N
"	O	O	O	N
của	O	O	O	N
một	O	O	O	N
người	O	O	O	N
thăm_nuôi	O	O	O	N
bệnh	O	O	O	N
trước	O	O	O	N
cửa	O	O	O	N
Bệnh_viện	O	LOC	T22	N
nhân_dân	O	LOC	T22	N
115	O	LOC	T22	N
,	O	O	O	N
Huy	O	PER	T23	N
bị	O	O	O	N
Công_an	O	ORG	T21	N
quận	O	ORG	T21	N
10	O	ORG	T21	N
tóm	Arrest-jail	O	T20	Person-Arg:T23 Agent-Arg:T21 Place-Arg:T22 
gọn	O	O	O	N
.	O	O	O	N

Sau	O	O	O	N
vụ	O	O	O	N
này	O	O	O	N
,	O	O	O	N
Huy	O	PER	T25	N
cùng	O	PER	T25	N
đồng_bọn	O	PER	T25	N
bị	O	O	O	N
kết_án	Convict	O	T24	Defendant-Arg:T25 
5	O	O	O	N
năm	O	O	O	N
tù_giam	O	O	O	N
.	O	O	O	N

Sau	O	O	O	N
một	O	O	O	N
thời_gian	O	O	O	N
cải_tạo	O	O	O	N
ở	O	O	O	N
trại_giam	O	O	O	N
Xuyên_Mộc	O	O	O	N
,	O	O	O	N
Bà_Rịa	O	O	O	N
-	O	O	O	N
Vũng_Tàu	O	O	O	N
,	O	O	O	N
Huy	O	PER	T27	N
được	O	O	O	N
về	Release-parole	O	T26	Person-Arg:T27 
trước	O	O	O	N
thời_hạn	O	O	O	N
.	O	O	O	N

Nghĩ	O	O	O	N
thằng	O	O	O	N
cháu	O	O	O	N
đã	O	O	O	N
hồi_tâm	O	O	O	N
chuyển	O	O	O	N
ý	O	O	O	N
,	O	O	O	N
bà	O	O	O	N
nội	O	O	O	N
đã	O	O	O	N
tìm	O	O	O	N
cách	O	O	O	N
mai_mối	O	O	O	N
cho	O	O	O	N
hắn	O	O	O	N
lấy	O	O	O	N
được	O	O	O	N
cô	O	O	O	N
vợ_con	O	O	O	N
nhà	O	O	O	N
đàng_hoàng	O	O	O	N
tử_tế	O	O	O	N
.	O	O	O	N

Nhưng	O	O	O	N
chỉ	O	O	O	N
được	O	O	O	N
ít	O	O	O	N
tháng	O	O	O	N
sau	O	O	O	N
khi	O	O	O	N
cô	O	O	O	N
vợ	O	O	O	N
mang	O	O	O	N
thai	O	O	O	N
đứa	O	O	O	N
con	O	O	O	N
đầu_lòng	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
lại	O	O	O	N
bỏ	O	O	O	N
nhà	O	O	O	N
trôi_dạt	O	O	O	N
cùng	O	O	O	N
đám	O	O	O	N
bạn	O	O	O	N
cũ	O	O	O	N
(	O	O	O	N
mới	O	O	O	N
được	O	O	O	N
tha	O	O	O	N
tù	O	O	O	N
)	O	O	O	N
tiếp_tục	O	O	O	N
lập	O	O	O	N
băng_nhóm	O	O	O	N
trộm_cắp	O	O	O	N
lấy	O	O	O	N
tiền	O	O	O	N
chơi	O	O	O	N
ma_tuý	O	O	O	N
.	O	O	O	N

Ban_ngày	O	O	O	N
,	O	O	O	N
chúng	O	O	O	N
tìm	O	O	O	N
về	O	O	O	N
những	O	O	O	N
bãi	O	O	O	N
đất	O	O	O	N
trống	O	O	O	N
ở	O	O	O	N
khu_vực	O	O	O	N
đường	O	O	O	N
Thành_Thái	O	O	O	N
(	O	O	O	N
đoạn	O	O	O	N
mới	O	O	O	N
mở	O	O	O	N
)	O	O	O	N
làm	O	O	O	N
nơi	O	O	O	N
tá_túc	O	O	O	N
,	O	O	O	N
tối	O	O	O	N
đến	O	O	O	N
chúng	O	O	O	N
chia	O	O	O	N
nhau	O	O	O	N
tìm	O	O	O	N
đến	O	O	O	N
cổng	O	O	O	N
các	O	O	O	N
Bệnh_viện	O	O	O	N
115	O	O	O	N
và	O	O	O	N
Bệnh_viện	O	O	O	N
Nhi_Đồng	O	O	O	N
1	O	O	O	N
để	O	O	O	N
trộm_cắp	O	O	O	N
,	O	O	O	N
cướp_giật	O	O	O	N
đồ	O	O	O	N
của	O	O	O	N
bệnh_nhân	O	O	O	N
.	O	O	O	N

Ngô_Quốc_Huy	O	O	O	N
tại	O	O	O	N
cơ_quan	O	O	O	N
công_an	O	O	O	N
Song	O	O	O	N
trong	O	O	O	N
thời_gian	O	O	O	N
Huy	O	O	O	N
đi	O	O	O	N
tù	O	O	O	N
,	O	O	O	N
lãnh_địa	O	O	O	N
cũ	O	O	O	N
của	O	O	O	N
hắn	O	O	O	N
đã	O	O	O	N
bị	O	O	O	N
các	O	O	O	N
đại_ca	O	O	O	N
giang_hồ	O	O	O	N
khác	O	O	O	N
chiếm_giữ	O	O	O	N
từ	O	O	O	N
lâu	O	O	O	N
nên	O	O	O	N
khi	O	O	O	N
hắn	O	O	O	N
cùng	O	O	O	N
đám	O	O	O	N
đàn_em	O	O	O	N
tìm	O	O	O	N
đến	O	O	O	N
các	O	O	O	N
khu_vực	O	O	O	N
này	O	O	O	N
"	O	O	O	N
ăn_hàng	O	O	O	N
"	O	O	O	N
đã	O	O	O	N
bị	O	O	O	N
đám	O	O	O	N
giang_hồ	O	O	O	N
mới	O	O	O	N
liên_tục	O	O	O	N
đánh	O	O	O	N
cho	O	O	O	N
tơi_bời	O	O	O	N
.	O	O	O	N

Đánh_đấm	O	O	O	N
không	O	O	O	N
lại	O	O	O	N
,	O	O	O	N
Huy	O	O	O	N
ra_lệnh	O	O	O	N
cho	O	O	O	N
đám	O	O	O	N
đàn_em	O	O	O	N
cứ	O	O	O	N
mỗi	O	O	O	N
tối	O	O	O	N
